battery_rho,best_loss,grad_norm,iteration,loss,motor_kt,wheel_radius
1.0049999952316284,75.1890640258789,70.42687225341797,1,75.1890640258789,1.0049999952316284,0.05499996617436409
1.0097330808639526,74.92548370361328,88.68826293945312,2,74.92548370361328,1.0015294551849365,0.054299063980579376
1.0142730474472046,74.73573303222656,71.59490966796875,3,74.73573303222656,0.9989174604415894,0.05559631064534187
1.0187445878982544,74.54618835449219,71.50426483154297,4,74.54618835449219,0.9967989325523376,0.05792354419827461
1.023197054862976,74.32765197753906,66.17921447753906,5,74.32765197753906,0.9949052929878235,0.060826655477285385
1.0276623964309692,74.09302520751953,67.20614624023438,6,74.09302520751953,0.9932191967964172,0.06413336098194122
1.0320943593978882,73.87643432617188,71.436279296875,7,73.87643432617188,0.9917506575584412,0.06776288151741028
1.0365207195281982,73.6321029663086,62.377655029296875,8,73.6321029663086,0.9903296828269958,0.07157500088214874
1.04104745388031,73.42472839355469,47.306419372558594,9,73.42472839355469,0.9887599945068359,0.07541198283433914
1.0455516576766968,73.21524810791016,59.89908981323242,10,73.21524810791016,0.9872663021087646,0.07937738299369812
1.0500673055648804,72.95551300048828,52.84690475463867,11,72.95551300048828,0.98578280210495,0.08340124040842056
1.054544448852539,72.71808624267578,51.16263961791992,12,72.71808624267578,0.9843298196792603,0.08746884763240814
1.0590473413467407,72.53512573242188,44.89259338378906,13,72.53512573242188,0.982861340045929,0.09152641147375107
1.0635019540786743,72.30450439453125,46.50383758544922,14,72.30450439453125,0.9814951419830322,0.09559659659862518
1.0679070949554443,72.11202239990234,39.91254425048828,15,72.11202239990234,0.9801381230354309,0.09963136911392212
1.072206974029541,71.89412689208984,39.340370178222656,16,71.89412689208984,0.9788791537284851,0.10363803058862686
1.0765151977539062,71.73670959472656,31.276662826538086,17,71.73670959472656,0.9775946140289307,0.10754667222499847
1.0808066129684448,71.6014175415039,29.431169509887695,18,71.6014175415039,0.9763012528419495,0.11135749518871307
1.0850383043289185,71.38728332519531,29.131942749023438,19,71.38728332519531,0.9751599431037903,0.1150863766670227
1.0890966653823853,71.20988464355469,29.343875885009766,20,71.20988464355469,0.9742610454559326,0.11875546723604202
1.0929968357086182,71.01962280273438,28.44844627380371,21,71.01962280273438,0.9737474918365479,0.12236590683460236
1.0964891910552979,70.92264556884766,39.45649337768555,22,70.92264556884766,0.974343478679657,0.1260245144367218
1.099587082862854,70.7503433227539,36.735565185546875,23,70.7503433227539,0.9759304523468018,0.12970535457134247
1.1022554636001587,70.65353393554688,33.117652893066406,24,70.65353393554688,0.9782994985580444,0.13337619602680206
1.1045349836349487,70.51876831054688,30.62775421142578,25,70.51876831054688,0.9813740253448486,0.1370183229446411
1.1065864562988281,70.45960235595703,23.982444763183594,26,70.45960235595703,0.9849108457565308,0.14057771861553192
1.1082600355148315,69.97837829589844,23.38853645324707,27,69.97837829589844,0.9889940619468689,0.1440548449754715
1.1094685792922974,69.84355163574219,21.852725982666016,28,69.84355163574219,0.9935174584388733,0.14743734896183014
1.110207438468933,69.72000885009766,21.159814834594727,29,69.72000885009766,0.9984359741210938,0.15000000596046448
1.11049485206604,69.5818099975586,18.424436569213867,30,69.5818099975586,1.0036144256591797,0.15000000596046448
1.110381841659546,69.5818099975586,18.285221099853516,31,69.58190155029297,1.0090038776397705,0.15000000596046448
1.1098977327346802,69.57756042480469,18.421110153198242,32,69.57756042480469,1.0145703554153442,0.15000000596046448
1.1090291738510132,69.57039642333984,19.71868133544922,33,69.57039642333984,1.0203118324279785,0.15000000596046448
1.1079660654067993,69.48836517333984,18.216999053955078,34,69.48836517333984,1.0262240171432495,0.15000000596046448
